Return of the Calamity-Class Death Knight || Viewed: Chapter 35  
A Genius Wizard Who Breaks Boundaries || Viewed: Chapter 23  
Shut up, Evil Dragon, I don't want to raise a child with you anymore || Viewed: Chapter 59  
F-Class Destiny Hunter || Viewed: Chapter 56.4  
Solo Max-Level Newbie || Viewed: Chapter 241  
Shinka No Mi || Viewed: Chapter 39  
The Player Hides His Past || Viewed: Chapter 107  
STUCK IN THE TOWER || Viewed: Chapter 65  
The Dark Magician Transmigrates After 66666 Years || Viewed: Chapter 154  
Walking with Death: Start From Murloc Dungeons || Viewed: Chapter 41  
Souzou Renkinjutsushi wa Jiyuu wo Ouka suru: Kokyou wo Tsuihou saretara, Maou no Ohizamoto de Chouzetsu Kouka no Magic Item Tsukuri-houdai ni Narimashita || Viewed: Chapter 12.1  
Apex Future Martial Arts || Viewed: Chapter 294  
Noumin Kanren no Skill bakka Agetetara Naze ka Tsuyoku Natta || Viewed: Chapter 45  
The Dark Mage’S Return To Enlistment || Viewed: Chapter 50.4  
Meikyuu Metro - Mezametara Saikyoushoku Datta Node Shima Risu O Tsurete Shinsekai O Aruku || Viewed: Chapter 22  
Academy’s Undercover Professor || Viewed: Chapter 80  
??? Rank no Ura Soubi Musou || Viewed: Chapter 62  
That Time I Got Reincarnated With Talent ~I’ll Work Hard Even if I Go to Another World~ || Viewed: Chapter 16  
The Strongest Assassin Gets Transferred To Another World With His Whole Class || Viewed: Chapter 102  
Regressor Instruction Manual || Viewed: Chapter 175  
Entomologist In Sichuan Tang Clan || Viewed: Chapter 46  
Isekai Walking || Viewed: Chapter 14  
The Ultimate Of All Ages || Viewed: Chapter 288  
Talent-Swallowing Magician || Viewed: Chapter 66  
I'm Only A Stepmother, But My Daughter Is Just So Cute! || Viewed: Chapter 85  
Re:monster || Viewed: Chapter 96  
My School Life Pretending To Be A Worthless Person || Viewed: Chapter 99  
Mr. Zombie || Viewed: Chapter 93  
The Knight King Who Returned With A God || Viewed: Chapter 56  
Infinite Mage || Viewed: Chapter 113  
Survival Story Of A Sword King In A Fantasy World || Viewed: Chapter 56  
Leveling With The Gods || Viewed: Chapter 93  
Villain To Kill || Viewed: Chapter 0  
The Former Top 1's Sub-Character Training Diary ~A Dedicated Player Is Currently Conquering Another World!~ || Viewed: Chapter 51  
Kouryakuhon o Kushi Suru Saikyou no Mahoutsukai ~< meirei sa sero > to wa Iwa Senai Oreryuu Mao Tobatsu Saizen Ruuto ~ || Viewed: Chapter 71  
The Executed Sage Is Reincarnated As A Lich And Starts An All-Out War || Viewed: Chapter 35  
Dad Is A Hero, Mom Is A Spirit, I'm A Reincarnator || Viewed: Chapter 67  
The Great Mage Returns After 4000 Years || Viewed: Chapter 193  
I Obtained A Mythic Item || Viewed: Chapter 95.2  
I've Been Kicked Out of an S-Rank Guild. But Only I Can Communicate With Dragons. Before I Knew It, I Became the Greatest Dragon Knight || Viewed: Chapter 15  
Return Of The Sss-Class Ranker || Viewed: Chapter 115  
Isekai Kenja no Tensei Musou ~Geemu no Chishiki de Isekai Saikyou~ || Viewed: Chapter 30.4  
Transcension Academy || Viewed: Chapter 148  
Starting As The God Of Wealth, Taming Billions Of Divine Pets! || Viewed: Chapter 48  
Awakening the Purple Thunder at the Beginning || Viewed: Chapter 40  
My Father, The Possessive Demi-God || Viewed: Chapter 42  
Madan No Ichi || Viewed: Chapter 21  
The Count’s Youngest Son Is A Player || Viewed: Chapter 65  
Dragon-Devouring Mage || Viewed: Chapter 85  
Genius Of The Unique Lineage || Viewed: Chapter 98  
Murim Login || Viewed: Chapter 185  
Swordmaster’s Youngest Son || Viewed: Chapter 180  
A Hero Trained By The Most Evil Demon King Is Unrivaled In The Academy Of Returnees From Another World || Viewed: Chapter 18  
The Eminence In Shadow || Viewed: Chapter 73.2  
Regressing With The King's Power || Viewed: Chapter 77  
Overgeared || Viewed: Chapter 210  
The Strongest Villain, Who Had Hidden Himself Deep in the Mountains to Escape His Downfall, Is Dragged Back Into the Spotlight by the Heroine He Once Saved. || Viewed: Chapter 5  
Healing Life Through Camping In Another World || Viewed: Chapter 66  
I Am The Most Powerful Transcendent Being || Viewed: Chapter 85  
Yuusha Party wo Tsuihosareta Ore daga, Ore kara Sudattekureta you de Ureshii. ......nanode Dai Seijo, Omae ni Ottekorarete wa Komaru no daga? || Viewed: Chapter 27  
The World's Strongest Rearguard: Labyrinth Country's Novice Seeker || Viewed: Chapter 29  
The Max Level Hero Strikes Back || Viewed: Chapter 221  
The Reincarnated Prince Becomes an Alchemist and Brings Prosperity to His Country || Viewed: Chapter 14  
Leveling Up By Killing Gods || Viewed: Chapter 62  
Extraordinary World! I, a vampire... || Viewed: Chapter 36  
Mofumofu To Isekai Slow Life O Mezashimasu! || Viewed: Chapter 30  
The Tutorial Is Too Hard || Viewed: Chapter 146  
Otome Game No Heroine De Saikyou Survival || Viewed: Chapter 19.1  
My Death Flags Show No Sign of Ending || Viewed: Chapter 76  
Shachiku Kensei, Haishinsha ni naru - Black Guild Kaishain, Ukkari Kaishayou Kaisen de S-kyuu Monster wo Aite ni Musou suru Tokoro wo Zenkoku Haishin shite shimau || Viewed: Chapter 5.2  
The Other World's Wizard Does Not Chant || Viewed: Chapter 34  
My Status As An Assassin Obviously Exceeds The Brave's || Viewed: Chapter 27  
Craft Game No Nouryoku De Isekai Kouryaku!! || Viewed: Chapter 30  
The Useless Tamer Will Turn Into The Top Unconsciously By My Previous Life Knowledge || Viewed: Chapter 30  
Kamigami no Kago de Seisan Kakumei || Viewed: Chapter 7.3  
Martial God Regressed To Level 2 || Viewed: Chapter 104  
Dungeon Tou De Yadoya Wo Yarou! Souzou Mahou Wo Moratta Ore No Hosoude Hanjouki || Viewed: Chapter 36  
Sekai Saisoku No Level Up! || Viewed: Chapter 30  
Terminally-Ill Genius Dark Knight || Viewed: Chapter 110  
World's Strongest Troll || Viewed: Chapter 143  
Villager A Wants To Save The Villainess No Matter What! || Viewed: Chapter 37.1  
The Summoned Mage Goes To Another World || Viewed: Chapter 37.1  
Isekai Craft Gurashi Jiyu Kimamana Seisan Shoku No Honobono Slow Life || Viewed: Chapter 10.1  
Garbage Hero: A Revenge Story Of A Hero Who Got Summoned To Another World || Viewed: Chapter 39  
Isekai De Te Ni Ireta Seisan Skill Wa Saikyou Datta You Desu || Viewed: Chapter 35  
I’M Not That Kind Of Talent || Viewed: Chapter 64  
Isekai Maou To Shoukan Shoujo Dorei Majutsu || Viewed: Chapter 101.3  
I Rely On My Invincibility To Deal Tons Of Damage Passively! || Viewed: Chapter 145  
The Useless Skill [Auto Mode] Has Been Awakened ~Huh, Guild's Scout, Didn't You Say I Wasn't Needed Anymore?~ || Viewed: Chapter 41  
Jitsu Wa Ore, Saikyou Deshita? || Viewed: Chapter 69  
Eiyuu to Kenja no Tensei Kon || Viewed: Chapter 16  
Welcome To The Impregnable Demon King Castle ~The Black Mage Who Got Kicked Out Of The Hero Party Due To His Unnecessary Debuffs Gets Welcomed By The Top Brass Of The Demon King's Army~ || Viewed: Chapter 24  
Nito's Lazy Foreign World Syndrome || Viewed: Chapter 32.1  
Drawing: The Greatest Mangaka Becomes A Skilled “Martial Artist” In Another World || Viewed: Chapter 80  
Tearmoon Empire Story || Viewed: Chapter 32  
Ruri Dragon || Viewed: Chapter 37.5  
Bug Player || Viewed: Chapter 120  
Kyuuseishu ≪MESHIA≫~Isekai wo sukutta moto yuusha ga mamono no afureru genjitsu sekai wo musou suru~ || Viewed: Chapter 32  
There Was a Cute Girl in the Hero’s Party, so I Tried Confessing to Her || Viewed: Chapter 32.2  
Kenja no Deshi wo Nanoru Kenja || Viewed: Chapter 68  
The Newbie Is Too Strong || Viewed: Chapter 85  
The Reincarnation Of The Strongest Onmyoji ~ These Monsters Are Too Weak Compared To My Youkai~ || Viewed: Chapter 34  
Reborn Ranker – Gravity User || Viewed: Chapter 60  
Isekai De Uwamae Hanete Ikiteiku ~Saisei Mahotsukai No Yuru Fuwa Jinzai Haken Seikatsu~ || Viewed: Chapter 17  
Dungeon Athlete || Viewed: Chapter 45  
I Got A New Skill Every Time I Was Exiled, And After 100 Different Worlds, I Was Unmatched || Viewed: Chapter 27.1  
It's Sudden, But I Came To Another World! But I Hope To Live Safely || Viewed: Chapter 29.2  
Fun Territory Defense By The Optimistic Lord || Viewed: Chapter 38.2  
The Cursed Sword Master’S Harem Life: By The Sword, For The Sword, Cursed Sword Master || Viewed: Chapter 26.2  
An Old Man From The Countryside Becomes A Swords Saint: I Was Just A Rural Sword Teacher, But My Successful Students Won't Leave Me Alone! || Viewed: Chapter 20  
Isekai Cheat Magic Swordsman || Viewed: Chapter 1.1  
Steal from the Devil's Pocket || Viewed: Chapter 33  
